County,,Total,Male,Female,SQ.Km,Pop density
Meru,BUURI WEST,80762.00,40496.00,40264.00,639.00,126.00
Meru,IGEMBE CENTRAL,221412.00,111208.00,110200.00,603.00,367.00
Meru,IGEMBE NORTH,169317.00,83364.00,85949.00,1113.00,152.00
Meru,IGEMBE SOUTH,161646.00,80192.00,81446.00,255.00,633.00
Meru,IMENTI NORTH,177567.00,88506.00,89056.00,232.00,767.00
Meru,IMENTI SOUTH,206506.00,103338.00,103162.00,418.00,494.00
Meru,MERU CENTRAL,133818.00,66920.00,66894.00,377.00,355.00
Meru,TIGANIA CENTRAL,104730.00,51814.00,52916.00,237.00,441.00
Meru,TIGANIA EAST,72549.00,35352.00,37194.00,511.00,142.00
Meru,TIGANIA WEST,139961.00,67715.00,72241.00,399.00,351.00
Meru,MERU NATIONAL PARK,385.00,283.00,102.00,838.00,..
Meru,MT. KENYA FOREST,463.00,409.00,54.00,1060.00,..
Tharaka Nithi,THARAKA-NITHI,393177.00,193764.00,199406.00,2564.00,153.00
Tharaka Nithi,IGAMBANG'OMBE,53210.00,26464.00,26745.00,323.00,165.00
Tharaka Nithi,MAARA,114894.00,57689.00,57205.00,266.00,431.00
Tharaka Nithi,MERU SOUTH,91080.00,44923.00,46155.00,139.00,656.00
Tharaka Nithi,THARAKA NORTH,58345.00,28290.00,30053.00,839.00,70.00
Tharaka Nithi,THARAKA SOUTH,75250.00,36190.00,39058.00,637.00,118.00
Tharaka Nithi,MOUNT KENYA FOREST,398.00,208.00,190.00,360.00,1.00
Embu,EMBU EAST,129564.00,64571.00,64991.00,253.00,512.00
Embu,EMBU NORTH,79556.00,39665.00,39888.00,111.00,719.00
Embu,EMBU WEST,127100.00,63125.00,63966.00,158.00,804.00
Embu,MBEERE SOUTH,163476.00,83311.00,80159.00,1312.00,125.00
Embu,MBEERE NORTH,108881.00,53517.00,55360.00,784.00,139.00
Embu,MOUNT KENYA FOREST,22.00,19.00,3.00,203.00,..
Kitui,IKUTHA,82964.00,39986.00,42976.00,9033.00,9.00
Kitui,KATULANI,47108.00,23150.00,23957.00,324.00,146.00
Kitui,KISASI,46142.00,22646.00,23496.00,295.00,157.00
Kitui,KITUI CENTRAL,105991.00,52123.00,53863.00,422.00,251.00
Kitui,KITUI WEST,70871.00,33887.00,36983.00,416.00,170.00
Kitui,KYUSO,76867.00,36789.00,40077.00,2525.00,30.00
Kitui,LOWER YATTA,63329.00,31701.00,31628.00,1191.00,53.00
Kitui,MATINYANI,47811.00,23362.00,24448.00,264.00,181.00
Kitui,MIGWANI,79255.00,37525.00,41726.00,635.00,125.00
Kitui,MUMONI,29344.00,13748.00,15596.00,611.00,48.00
Kitui,MUTITU,55287.00,26388.00,28896.00,4710.00,12.00
Kitui,MUTITU NORTH,21215.00,10337.00,10877.00,548.00,39.00
Kitui,MUTOMO,113356.00,54819.00,58531.00,2853.00,40.00
Kitui,MWINGI CENTRAL,108713.00,52539.00,56174.00,1146.00,95.00
Kitui,MWINGI EAST,85139.00,40314.00,44820.00,3418.00,25.00
Kitui,NZAMBANI,46788.00,22929.00,23857.00,320.00,146.00
Kitui,THAGICU,15136.00,7141.00,7994.00,363.00,42.00
Kitui,TSEIKURU,40871.00,19619.00,21252.00,1356.00,30.00
Machakos,ATHI RIVER,322499.00,164322.00,158172.00,835.00,386.00
Machakos,KALAMA,54462.00,26764.00,27692.00,480.00,113.00
Machakos,KANGUNDO,97917.00,48697.00,49219.00,173.00,565.00
Machakos,KATHIANI,111890.00,54910.00,56976.00,204.00,548.00
Machakos,MACHAKOS,170606.00,85486.00,85114.00,280.00,609.00
Machakos,MASINGA,148522.00,73519.00,75001.00,1407.00,106.00
Machakos,MATUNGULU,161557.00,81145.00,80407.00,581.00,278.00
Machakos,MWALA,181896.00,90427.00,91466.00,1013.00,179.00
Machakos,YATTA,172583.00,85437.00,87144.00,1062.00,162.00
Makueni,KATHONZWENI,79780.00,39335.00,40442.00,881.00,91.00
Makueni,KIBWEZI,197000.00,98477.00,98517.00,3137.00,63.00
Makueni,KILUNGU,60952.00,29019.00,31932.00,154.00,395.00
Makueni,MAKINDU,84946.00,42204.00,42742.00,852.00,100.00
Makueni,MAKUENI,130375.00,65418.00,64955.00,609.00,214.00
Makueni,MBOONI EAST,97756.00,48152.00,49601.00,693.00,141.00
Makueni,MBOONI WEST,102594.00,49434.00,53159.00,271.00,379.00
Makueni,MUKAA,107549.00,54481.00,53068.00,804.00,134.00
Makueni,NZAUI,126701.00,63171.00,63526.00,775.00,163.00
Nyandarua,KINANGOP,111410.00,54727.00,56679.00,294.00,379.00
Nyandarua,NYANDARUA  SOUTH,93870.00,46157.00,47708.00,314.00,299.00
Nyandarua,MIRANGINE,67214.00,33447.00,33766.00,246.00,274.00
Nyandarua,KIPIPIRI,93855.00,46113.00,47740.00,456.00,206.00
Nyandarua,NYANDARUA  CENTRAL,75262.00,37329.00,37931.00,347.00,217.00
Nyandarua,NYANDARUA  WEST,97965.00,48752.00,49209.00,385.00,255.00
Nyandarua,NYANDARUA  NORTH,98698.00,48486.00,50210.00,528.00,187.00
Nyandarua,ABERDARE NATIONAL PARK,15.00,11.00,4.00,717.00,..
Nyeri,TETU,80453.00,39293.00,41155.00,217.00,372.00
Nyeri,KIENI EAST,110376.00,55360.00,55012.00,449.00,246.00
Nyeri,KIENI WEST,88525.00,43843.00,44677.00,518.00,171.00
Nyeri,MATHIRA EAST,99065.00,48070.00,50992.00,130.00,760.00
Nyeri,MATHIRA WEST,59895.00,29480.00,30412.00,162.00,369.00
Nyeri,NYERI SOUTH,91081.00,44115.00,46964.00,169.00,538.00
Nyeri,MUKURWE-INI,89137.00,43975.00,45156.00,179.00,498.00
Nyeri,NYERI CENTRAL,140338.00,69955.00,70380.00,168.00,837.00
Nyeri,MT. KENYA FOREST,188.00,123.00,65.00,611.00,..
Nyeri,ABERDARE FOREST,106.00,74.00,32.00,722.00,..
Kirinyaga,KIRINYAGA  CENTRAL,122740.00,60118.00,62617.00,153.00,800.00
Kirinyaga,KIRINYAGA EAST,135559.00,67037.00,68514.00,232.00,585.00
Kirinyaga,KIRINYAGA WEST,114660.00,56154.00,58502.00,208.00,552.00
Kirinyaga,MWEA EAST,132554.00,66432.00,66114.00,303.00,437.00
Kirinyaga,MWEA WEST,104828.00,52228.00,52594.00,239.00,438.00
Kirinyaga,MOUNT KENYA FOREST,70.00,42.00,28.00,343.00,..
Murang'a,MURANG'A EAST,110311.00,54665.00,55645.00,241.00,458.00
Murang'a,KANGEMA,80447.00,39582.00,40862.00,174.00,463.00
Murang'a,MATHIOYA,92814.00,45454.00,47359.00,178.00,523.00
Murang'a,KAHURO,88193.00,43352.00,44834.00,169.00,521.00
Murang'a,MURANG'A SOUTH,184824.00,91732.00,93087.00,457.00,405.00
Murang'a,GATANGA,187989.00,94437.00,93548.00,531.00,354.00
Murang'a,KIGUMO,136921.00,67989.00,68929.00,244.00,561.00
Murang'a,KANDARA,175098.00,86698.00,88393.00,235.00,746.00
Murang'a,ABERDARE FOREST,43.00,31.00,12.00,295.00,..
Kiambu,GATUNDU NORTH,109870.00,54189.00,55678.00,286.00,384.00
Kiambu,GATUNDU SOUTH,122103.00,60384.00,61714.00,194.00,631.00
Kiambu,GITHUNGURI,165232.00,82037.00,83187.00,174.00,948.00
Kiambu,JUJA,300948.00,148446.00,152480.00,342.00,880.00
Kiambu,KABETE,199653.00,97794.00,101845.00,61.00,3289.00
Kiambu,KIAMBAA,236400.00,115690.00,120695.00,91.00,2595.00
Kiambu,KIAMBU,145903.00,69661.00,76225.00,98.00,1483.00
Kiambu,KIKUYU,187122.00,90919.00,96198.00,173.00,1082.00
Kiambu,LARI,135303.00,67061.00,68238.00,432.00,313.00
Kiambu,LIMURU,159314.00,79632.00,79682.00,285.00,559.00
Kiambu,RUIRU,371111.00,180947.00,190144.00,201.00,1846.00
Kiambu,THIKA EAST,38956.00,19688.00,19264.00,110.00,354.00
Kiambu,THIKA WEST,245820.00,120698.00,125104.00,91.00,2689.00
Turkana,KIBISH,36769.00,18651.00,18117.00,10466.00,4.00
Turkana,LOIMA,107795.00,54341.00,53453.00,9120.00,12.00
Turkana,TURKANA  CENTRAL,185305.00,93145.00,92160.00,6415.00,29.00
Turkana,TURKANA EAST,138526.00,76871.00,61643.00,11396.00,12.00
Turkana,TURKANA NORTH,65218.00,32810.00,32408.00,7012.00,9.00
Turkana,TURKANA SOUTH,153736.00,78402.00,75329.00,7045.00,22.00
Turkana,TURKANA WEST,239627.00,123867.00,115758.00,16779.00,14.00
West Pokot,KIPKOMO,102633.00,50923.00,51703.00,766.00,134.00
West Pokot,POKOT CENTRAL,119016.00,59682.00,59331.00,2055.00,58.00
West Pokot,POKOT NORTH,134485.00,64780.00,69702.00,3911.00,34.00
West Pokot,POKOT SOUTH,80661.00,39808.00,40851.00,537.00,150.00
West Pokot,WEST POKOT,184446.00,91820.00,92626.00,1855.00,99.00
Samburu,SAMBURU  CENTRAL,164942.00,83633.00,81307.00,3699.00,45.00
Samburu,SAMBURU EAST,77994.00,38211.00,39782.00,10016.00,8.00
Samburu,SAMBURU NORTH,67391.00,34930.00,32457.00,7375.00,9.00
Trans Nzoia,TRANS NZOIA WEST,202377.00,101198.00,101174.00,355.00,569.00
Trans Nzoia,TRANS NZOIA EAST,229538.00,113498.00,116029.00,629.00,365.00
Trans Nzoia,KWANZA,203821.00,100234.00,103584.00,465.00,438.00
Trans Nzoia,ENDEBESS,111782.00,56090.00,55689.00,678.00,165.00
Trans Nzoia,KIMININI,242823.00,118087.00,124730.00,367.00,662.00
Uasin Gishu,AINABKOI,138184.00,68348.00,69835.00,483.00,286.00
Uasin Gishu,KAPSERET,198499.00,99650.00,98845.00,299.00,663.00
Uasin Gishu,KESSES,148798.00,74301.00,74493.00,748.00,199.00
Uasin Gishu,MOIBEN,181338.00,90309.00,91027.00,770.00,236.00
Uasin Gishu,SOY,229094.00,114082.00,115007.00,668.00,343.00
Uasin Gishu,TURBO,267273.00,133579.00,133682.00,431.00,620.00
Elgeyo Marakwet,KEIYO NORTH,99176.00,49601.00,49574.00,543.00,183.00
Elgeyo Marakwet,KEIYO SOUTH,120750.00,60919.00,59827.00,898.00,134.00
Elgeyo Marakwet,MARAKWET EAST,97041.00,47849.00,49190.00,853.00,114.00
Elgeyo Marakwet,MARAKWET WEST,137513.00,68948.00,68560.00,738.00,186.00
Nandi,CHESUMEI,164133.00,80949.00,83180.00,475.00,346.00
Nandi,NANDI CENTRAL,147553.00,73291.00,74255.00,362.00,407.00
Nandi,NANDI EAST,119173.00,59899.00,59271.00,392.00,304.00
Nandi,NANDI NORTH,166171.00,82512.00,83656.00,606.00,274.00
Nandi,NANDI SOUTH,172750.00,85718.00,87029.00,457.00,378.00
Nandi,TINDERET,115931.00,58890.00,57039.00,557.00,208.00
Baringo,BARINGO CENTRAL,96951.00,48120.00,48829.00,786.00,123.00
Baringo,BARINGO NORTH,104871.00,52369.00,52500.00,1629.00,64.00
Baringo,EAST POKOT,79923.00,40462.00,39459.00,2500.00,32.00
Baringo,KOIBATEK,129535.00,65295.00,64238.00,939.00,138.00
Baringo,MARIGAT,90955.00,45706.00,45246.00,1405.00,65.00
Baringo,MOGOTIO,91104.00,46014.00,45088.00,1375.00,66.00
Baringo,TIATY EAST,73424.00,38356.00,35068.00,2163.00,34.00
Baringo,LAKE BARINGO,-,-,-,186.00,-
Laikipia,LAIKIPIA CENTRAL,95594.00,47888.00,47705.00,1233.00,78.00
Laikipia,LAIKIPIA EAST,102815.00,52078.00,50732.00,1539.00,67.00
Laikipia,LAIKIPIA NORTH,36184.00,18067.00,18116.00,2550.00,14.00
Laikipia,LAIKIPIA WEST,129263.00,65158.00,64102.00,3372.00,38.00
Laikipia,NYAHURURU,154704.00,76249.00,78447.00,813.00,190.00
Nakuru,GILGIL,185209.00,92955.00,92247.00,1075.00,172.00
Nakuru,KURESOI NORTH,175074.00,87472.00,87599.00,618.00,283.00
Nakuru,KURESOI SOUTH,155324.00,78204.00,77117.00,591.00,263.00
Nakuru,MOLO,156732.00,78129.00,78598.00,483.00,324.00
Nakuru,NAIVASHA,355383.00,179222.00,176132.00,1958.00,181.00
Nakuru,NAKURU EAST,193926.00,92956.00,100960.00,231.00,840.00
Nakuru,NAKURU NORTH,218050.00,106155.00,111880.00,387.00,563.00
Nakuru,NAKURU WEST,198661.00,101797.00,96854.00,72.00,2764.00
Nakuru,NJORO,238773.00,118361.00,120408.00,699.00,341.00
Nakuru,RONGAI,199906.00,99976.00,99922.00,988.00,202.00
Nakuru,SUBUKIA,85164.00,42045.00,43118.00,402.00,212.00
Narok,NAROK EAST,115323.00,58699.00,56617.00,2042.00,56.00
Narok,NAROK NORTH,251862.00,128024.00,123829.00,2159.00,117.00
Narok,NAROK SOUTH,238472.00,118441.00,120029.00,4577.00,52.00
Narok,NAROK WEST,195287.00,97085.00,98198.00,5563.00,35.00
Narok,TRANS MARA EAST,111183.00,54545.00,56637.00,310.00,359.00
Narok,TRANS MARA WEST,245714.00,122220.00,123491.00,2546.00,97.00
Narok,MAU FOREST,32.00,28.00,4.00,734.00,..
Kajiado,ISINYA,210473.00,105607.00,104860.00,1072.00,196.00
Kajiado,KAJIADO CENTRAL,161862.00,81514.00,80343.00,4239.00,38.00
Kajiado,KAJIADO NORTH,306596.00,150675.00,155908.00,111.00,2773.00
Kajiado,KAJIADO WEST,182849.00,91607.00,91237.00,7862.00,23.00
Kajiado,LOITOKITOK,191846.00,94613.00,97225.00,6337.00,30.00
Kajiado,MASHUURU,64214.00,33082.00,31131.00,2251.00,29.00
Kericho,BELGUT,145072.00,72508.00,72564.00,264.00,549.00
Kericho,BURETI,199470.00,98823.00,100642.00,321.00,622.00
Kericho,KERICHO EAST,170625.00,86671.00,83947.00,241.00,709.00
Kericho,KIPKELION,122530.00,61066.00,61460.00,350.00,350.00
Kericho,LONDIANI,137580.00,68570.00,69000.00,400.00,344.00
Kericho,SOIN SIGOWET,126500.00,63103.00,63395.00,466.00,271.00
Kericho,MAU FOREST,-,-,-,201.00,-
Kericho,TINDERET FOREST                                                -                         -                         -                          -                          -                  -                   194                           -,,,,,
Bomet,BOMET EAST,144275.00,71095.00,73172.00,305.00,473.00
Bomet,CHEPALUNGU,164837.00,79921.00,84912.00,461.00,358.00
Bomet,KONOIN,163507.00,83120.00,80384.00,393.00,417.00
Bomet,SOTIK,227855.00,112369.00,115482.00,544.00,419.00
Bomet,BOMET CENTRAL,175215.00,87782.00,87429.00,286.00,613.00
Bomet,MAU FOREST,-,-,-,519.00,-
Kakamega,BUTERE,154100.00,73634.00,80463.00,210.00,734.00
Kakamega,KAKAMEGA CENTRAL,188212.00,92774.00,95432.00,155.00,1212.00
Kakamega,KAKAMEGA EAST,167641.00,80853.00,86784.00,417.00,402.00
Kakamega,KAKAMEGA NORTH,238330.00,115511.00,122814.00,421.00,566.00
Kakamega,KAKAMEGA SOUTH,111743.00,53219.00,58524.00,146.00,764.00
Kakamega,KHWISERO,113476.00,53670.00,59803.00,146.00,779.00
Kakamega,LIKUYANI,152055.00,73710.00,78341.00,316.00,481.00
Kakamega,LUGARI,122728.00,59135.00,63593.00,254.00,483.00
Kakamega,MATETE,66172.00,31749.00,34423.00,103.00,644.00
Kakamega,MATUNGU,166940.00,78793.00,88143.00,276.00,606.00
Kakamega,MUMIAS EAST,116851.00,55895.00,60953.00,150.00,778.00
Kakamega,MUMIAS WEST,115354.00,54915.00,60438.00,163.00,706.00
Kakamega,NAVAKHOLO,153977.00,73275.00,80695.00,259.00,594.00
Vihiga,EMUHAYA,97141.00,46507.00,50633.00,89.00,1091.00
Vihiga,VIHIGA,95292.00,45788.00,49501.00,90.00,1058.00
Vihiga,SABATIA,131628.00,62944.00,68683.00,111.00,1181.00
Vihiga,LUANDA,106694.00,51525.00,55165.00,84.00,1265.00
Vihiga,HAMISI,159241.00,76901.00,82337.00,157.00,1013.00
Vihiga,KAKAMEGA FOREST,17.00,13.00,4.00,32.00,1.00
Bungoma,BUMULA,215892.00,103368.00,112523.00,345.00,625.00
Bungoma,BUNGOMA  CENTRAL,177748.00,86302.00,91438.00,233.00,764.00
Bungoma,BUNGOMA EAST,114548.00,55775.00,58771.00,163.00,702.00
Bungoma,BUNGOMA NORTH,121317.00,58790.00,62526.00,192.00,633.00
Bungoma,BUNGOMA SOUTH,287765.00,139705.00,148055.00,321.00,896.00
Bungoma,CHEPTAIS,136035.00,67717.00,68312.00,223.00,610.00
Bungoma,KIMILILI,162038.00,78560.00,83475.00,180.00,902.00
Bungoma,MT ELGON,78873.00,38977.00,39893.00,126.00,624.00
Bungoma,BUNGOMA WEST,119875.00,58225.00,61649.00,211.00,568.00
Bungoma,TONGAREN,100343.00,48685.00,51657.00,185.00,542.00
Bungoma,WEBUYE WEST,152515.00,74180.00,78331.00,239.00,638.00
Bungoma,MT ELGON FOREST,3621.00,1862.00,1759.00,606.00,6.00
Busia,BUNYALA,85977.00,41465.00,44511.00,192.00,447.00
Busia,BUSIA,142408.00,69034.00,73373.00,196.00,727.00
Busia,BUTULA,140334.00,65136.00,75195.00,247.00,568.00
Busia,NAMBALE,111636.00,52900.00,58732.00,238.00,469.00
Busia,SAMIA,107176.00,50821.00,56341.00,262.00,408.00
Busia,TESO NORTH,138034.00,66412.00,71619.00,261.00,529.00
Busia,TESO SOUTH,168116.00,80484.00,87630.00,303.00,555.00
Siaya,SIAYA,224343.00,105906.00,118433.00,599.00,375.00
Siaya,GEM,179792.00,85696.00,94092.00,405.00,444.00
Siaya,UGENYA,134354.00,62624.00,71726.00,324.00,415.00
Siaya,UGUNJA,104241.00,48912.00,55329.00,201.00,519.00
Siaya,BONDO,197883.00,95962.00,101917.00,599.00,330.00
Siaya,RARIEDA,152570.00,72569.00,79999.00,402.00,379.00
Kisumu,KISUMU EAST,220997.00,108304.00,112689.00,142.00,1560.00
Kisumu,KISUMU CENTRAL,174145.00,84155.00,89985.00,37.00,4737.00
Kisumu,KISUMU WEST,172821.00,85697.00,87121.00,209.00,827.00
Kisumu,SEME,121667.00,57658.00,64007.00,268.00,454.00
Kisumu,MUHORONI,154116.00,76770.00,77345.00,658.00,234.00
Kisumu,NYANDO,161508.00,77121.00,84380.00,446.00,362.00
Kisumu,NYAKACH,150320.00,71237.00,79082.00,327.00,460.00
Homa Bay,HOMA BAY,117439.00,55756.00,61681.00,182.00,645.00
Homa Bay,NDHIWA,218136.00,103706.00,114422.00,713.00,306.00
Homa Bay,RACHUONYO  NORTH,178686.00,85409.00,93273.00,435.00,410.00
Homa Bay,RACHUONYO  EAST,121822.00,57709.00,64111.00,251.00,486.00
Homa Bay,RACHUONYO  SOUTH,130814.00,61663.00,69151.00,256.00,511.00
Homa Bay,RANGWE,117732.00,55404.00,62325.00,274.00,429.00
Homa Bay,SUBA NORTH,124938.00,60530.00,64406.00,406.00,307.00
Homa Bay,SUBA SOUTH,122383.00,59383.00,62998.00,634.00,193.00
Migori,AWENDO,117290.00,56348.00,60939.00,255.00,459.00
Migori,KURIA EAST,96872.00,46969.00,49894.00,188.00,516.00
Migori,KURIA WEST,208513.00,101090.00,107417.00,396.00,527.00
Migori,NYATIKE,176162.00,83989.00,92164.00,677.00,260.00
Migori,RONGO,124587.00,59257.00,65329.00,213.00,584.00
Migori,SUNA EAST,122674.00,58977.00,63694.00,205.00,598.00
Migori,SUNA WEST,128890.00,61430.00,67459.00,288.00,448.00
Migori,URIRI,141448.00,68127.00,73318.00,392.00,361.00
Kisii,ETAGO,83787.00,40137.00,43647.00,108.00,773.00
Kisii,GUCHA,83740.00,39631.00,44108.00,82.00,1020.00
Kisii,GUCHA SOUTH,83623.00,40022.00,43598.00,95.00,878.00
Kisii,KENYENYA,131740.00,62859.00,68878.00,142.00,930.00
Kisii,KISII CENTRAL,166906.00,81330.00,85573.00,136.00,1229.00
Kisii,KISII SOUTH,135134.00,64514.00,70615.00,128.00,1054.00
Kisii,KITUTU CENTRAL,154175.00,74608.00,79561.00,100.00,1537.00
Kisii,MARANI,107464.00,50598.00,56864.00,128.00,837.00
Kisii,MASABA SOUTH,122396.00,58143.00,64248.00,161.00,759.00
Kisii,NYAMACHE,130898.00,62113.00,68782.00,163.00,805.00
Kisii,SAMETA,66997.00,31829.00,35164.00,79.00,847.00
Nyamira,BORABU,73167.00,36736.00,36431.00,247.00,296.00
Nyamira,MANGA,94209.00,44868.00,49339.00,111.00,845.00
Nyamira,MASABA NORTH,111860.00,52884.00,58974.00,142.00,789.00
Nyamira,NYAMIRA NORTH,167267.00,80314.00,86947.00,216.00,775.00
Nyamira,NYAMIRA SOUTH,159073.00,76105.00,82965.00,182.00,876.00
Nairobi,DAGORETTI,434208.00,217651.00,216526.00,29.00,14908.00
Nairobi,EMBAKASI,988808.00,492476.00,496270.00,86.00,11460.00
Nairobi,KAMUKUNJI,268276.00,136670.00,131599.00,11.00,25455.00
Nairobi,KASARANI,780656.00,381234.00,399385.00,86.00,9063.00
Nairobi,KIBRA,185777.00,94199.00,91569.00,12.00,15311.00
Nairobi,LANG'ATA,197489.00,96698.00,100774.00,217.00,911.00
Nairobi,MAKADARA,189536.00,96369.00,93157.00,12.00,16150.00
Nairobi,MATHARE,206564.00,106522.00,100028.00,3.00,68940.00
Nairobi,NJIRU,626482.00,307642.00,318809.00,130.00,4821.00
Nairobi,STAREHE,210423.00,109173.00,101238.00,21.00,10205.00
Nairobi,WESTLANDS,308854.00,153818.00,155021.00,98.00,3167.00
